customer_id,recency,frequency,monetary
251,249,3,8748
252,551,5,14838
253,98,7,24519
254,129,2,2953
255,54,10,20773
256,609,4,12926
257,249,8,22547
258,209,2,9824
259,555,1,1567
260,173,7,13836
261,52,5,15835
262,450,4,11127
263,158,5,14429
264,101,3,8452
265,48,9,21815
266,68,4,11073
267,1234,3,13114
268,280,3,10427
269,517,2,3902
270,203,5,20427
271,735,2,6146
272,600,9,21945
273,153,9,24460
274,18,5,16900
275,95,10,26491
276,89,7,17400
277,194,4,11170
278,154,1,497
279,163,3,8499
280,461,1,4478
281,24,3,11341
282,6,8,22195
283,183,3,12177
284,322,4,12730
285,427,6,16150
286,4,5,14615
287,31,4,10939
288,142,4,15613
289,153,7,10699
290,91,9,24353
291,1,3,11249
292,411,2,7094
293,143,5,13663
294,524,5,8555
295,198,9,27737
296,133,7,20804
297,20,4,13950
298,105,3,7522
299,162,4,10898
300,134,6,19977
301,113,4,15948
302,530,7,21151
303,174,4,16129
304,75,2,6106
305,258,5,6997
306,198,2,3317
307,656,5,16633
308,21,7,14780
309,223,2,3449
310,575,1,1087
311,192,2,6682
312,15,4,11425
313,144,4,12950
314,79,8,18933
315,14,6,19217
316,141,7,25377
317,104,8,16513
318,245,7,20124
319,38,10,23082
320,159,2,2310
321,137,5,18387
322,69,7,11270
323,227,4,8725
324,20,7,16742
325,384,5,14095
326,211,5,10936
327,431,5,15245
328,172,5,16634
329,107,5,10534
330,304,3,5267
331,151,5,18129
332,491,4,11945
333,787,2,6123
334,230,5,17086
335,309,2,7800
336,1066,1,2057
337,259,3,11180
338,41,3,7311
339,143,3,9834
340,41,7,24638
341,30,8,17859
342,265,3,8515
343,93,2,4484
344,389,1,3003
345,311,5,17538
346,64,7,16157
347,74,8,21875
348,188,3,4142
349,220,4,12553
350,136,8,22382
351,59,5,19807
352,181,8,19887
353,214,4,15781
354,422,1,725
355,84,4,14575
356,89,8,22983
357,52,3,7512
358,2,4,14881
359,38,2,5195
360,30,3,11966
361,799,1,3342
362,280,6,6593
363,168,8,27299
364,164,4,11203
365,548,2,6047
366,425,6,15811
367,65,5,9377
368,15,8,28667
369,250,8,28653
370,163,9,25741
371,617,2,8274
372,211,7,21589
373,21,4,10285
374,97,7,18545
375,219,7,16251
376,569,8,28434
377,422,1,1574
378,389,6,13945
379,12,13,26926
380,206,4,14409
381,300,7,20855
382,248,2,2163
383,102,5,12387
384,185,6,14644
385,96,13,19146
386,446,4,6495
387,35,11,36989
388,291,6,21151
389,24,7,15497
390,154,5,9845
391,631,2,4834
392,107,3,8802
393,603,3,9284
394,316,5,12030
395,4,10,25602
396,50,6,17647
397,76,3,4972
398,305,6,12028
399,72,7,17086
400,262,12,33709
401,113,3,8727
402,1,6,14420
403,27,6,10981
404,196,5,15196
405,45,6,19924
406,833,6,7333
407,221,7,20644
408,411,4,7886
409,39,6,9498
410,59,4,10371
411,224,4,14297
412,206,5,6921
413,53,6,19045
414,73,6,13208
415,49,7,19376
416,89,7,14965
417,257,6,18992
418,132,4,11266
419,60,8,23627
420,17,5,11980
421,123,4,18158
422,83,5,14722
423,543,2,6944
426,839,5,5314
427,15,9,22480
428,634,4,9501
429,456,5,8326
430,534,2,8019
431,92,8,25467
432,2,7,22702
433,357,1,3847
434,60,4,11825
435,266,5,12347
436,150,5,11109
437,571,7,22333
438,1019,2,4402
439,14,8,18362
440,96,10,28560
442,265,4,12242
443,8,8,26062
444,64,7,25034
445,171,3,4943
446,99,9,22465
447,81,4,5947
448,3,4,8026
449,379,5,18248
450,114,7,18267
451,99,3,7882
452,933,3,6869
453,933,6,13305
454,297,3,8275
455,1177,1,4849
456,1337,1,4539
457,43,5,14352
458,205,3,6957
459,1217,1,2545
460,234,5,15315
461,745,8,21087
462,459,5,11133
463,735,3,6805
464,640,4,10306
465,148,7,20580
466,64,4,11472
467,318,4,10566
468,53,8,24500
469,304,6,16388
470,41,4,9378
471,36,6,12763
472,324,2,5887
473,438,5,13472
474,7,5,8809
475,49,9,14942
476,384,4,12942
477,309,3,8855
478,214,2,5707
479,167,7,17409
480,107,3,4600
481,403,5,14253
482,75,6,13560
483,265,3,6089
484,861,1,4521
485,1087,3,5487
486,358,5,17583
487,335,7,19596
488,161,7,21330
489,326,4,12979
490,194,2,8306
491,592,4,11834
492,619,2,4370
493,295,3,9172
494,246,6,20106
495,418,6,17425
496,76,1,2649
497,668,2,3913
498,496,2,5403
499,309,5,18375
500,250,6,20407
501,371,3,8879
502,361,6,20871
503,664,3,8970
504,603,3,6436
505,75,13,31931
506,54,9,16383
507,693,1,488
508,796,2,6275
509,1070,4,8498
510,398,6,18307
511,7,3,9266
512,179,5,18370
513,45,11,21332
514,341,4,13531
515,917,2,8674
516,94,5,17718
517,43,2,2680
518,395,3,8213
519,330,5,14492
520,104,6,15681
521,207,4,8511
522,350,2,7662
523,132,3,9358
524,392,6,22116
525,42,8,25058
526,57,5,9339
527,773,3,1437
528,381,7,19514
529,111,6,18297
530,59,5,7613
531,111,5,15206
532,66,5,13922
533,280,5,11376
534,124,2,4830
535,70,6,14206
536,758,8,17653
537,36,9,33315
538,361,4,11357
539,103,6,14695
540,518,5,14931
541,96,7,16195
542,180,4,14809
543,992,3,7851
544,298,4,13591
545,101,6,16230
546,208,6,11128
547,985,2,6109
548,19,10,30644
549,158,7,21906
550,165,5,12858
551,495,3,8382
552,24,7,16845
553,11,4,12928
554,224,6,16469
555,252,6,14484
556,432,6,18814
557,874,6,17038
558,25,4,8260
559,290,6,20041
560,578,5,14385
561,44,3,3412
562,95,7,24604
563,49,6,14702
564,392,2,5891
565,135,7,18806
566,297,6,14667
567,148,7,19590
568,143,4,10583
569,45,7,15714
570,765,1,1611
571,356,4,12391
572,18,6,15086
573,132,4,11197
574,331,3,13041
575,74,5,8114
576,41,7,21768
577,389,5,14374
578,319,2,6048
579,701,1,1972
580,659,3,7239
581,162,4,12305
582,114,4,12122
583,428,5,11176
584,275,5,15366
585,211,7,18418
586,129,7,18681
587,7,7,20708
588,4,7,24049
589,592,6,15198
590,265,4,12147
591,46,3,5945
592,293,9,21753
593,221,5,9481
594,33,4,7259
595,304,6,17590
596,464,6,13237
597,19,4,11588
598,465,1,1931
599,96,10,19970
600,398,3,7589
601,25,7,14055
602,36,4,14620
603,229,5,12460
604,173,5,10300
605,47,3,12634
606,66,7,16901
607,49,4,12417
608,414,8,25576
609,164,9,26548
610,668,3,10608
611,349,3,9053
612,288,6,13955
613,911,3,11027
614,60,8,16224
615,288,5,16233
616,60,9,28085
617,141,3,3946
618,87,9,18462
619,332,2,6692
620,92,7,22270
621,139,3,4154
622,750,2,4168
623,245,9,27963
624,71,7,18808
625,1076,1,4902
626,596,5,20327
627,271,3,13156
628,519,4,5082
629,218,7,25069
630,49,6,17673
631,194,5,13659
632,112,7,28428
633,181,3,6804
634,138,7,24909
635,24,5,17728
636,125,2,8302
637,177,6,12047
638,89,8,19958
639,175,5,14929
640,107,5,10279
641,129,2,2561
642,291,4,9529
643,375,3,12007
644,1039,1,4751
645,228,8,18954
646,108,6,20521
647,1114,2,3587
648,211,7,15337
649,192,6,14469
650,344,6,10729
651,650,5,15328
652,297,6,15031
653,330,3,9551
654,280,2,4800
655,121,8,25437
656,32,9,22005
657,223,5,16242
658,417,2,840
659,104,4,6135
660,276,7,23905
661,289,2,5210
662,727,3,8603
663,112,5,13770
664,307,3,9660
665,95,9,27161
666,83,5,15221
667,276,5,10031
668,75,2,3466
669,991,5,10936
670,306,2,3408
671,104,7,23688
672,171,9,28593
673,7,7,19648
674,264,3,7108
675,214,4,9049
676,24,5,8071
677,92,8,25693
678,48,3,6874
679,109,2,5120
680,67,4,11816
681,50,7,27789
682,380,4,4945
683,82,4,12525
684,423,5,17075
685,154,5,14365
686,387,3,4810
687,82,4,10454
688,149,4,9355
689,396,8,29573
690,213,3,7570
691,111,2,2347
692,122,5,12350
694,85,3,11926
695,448,6,17661
696,71,6,14888
697,410,5,19100
698,292,2,7318
699,121,3,9545
700,87,4,8540
701,172,7,16421
702,106,5,14500
703,263,6,18206
704,156,3,5620
705,257,4,14378
706,140,5,14025
707,268,7,15401
708,42,6,12837
709,47,7,21354
710,66,1,5230
711,366,3,6950
712,127,2,4923
714,67,6,18342
715,165,7,27385
716,49,5,8478
717,75,2,1796
718,36,5,15248
720,392,7,11054
721,248,5,16957
722,28,7,21573
723,562,3,5415
724,277,2,8059
725,482,4,11622
726,113,7,13066
727,227,3,6286
728,312,4,11172
729,376,6,17141
730,95,4,11641
731,189,5,16120
732,172,6,13548
733,315,3,10976
734,576,2,3501
735,304,4,14963
736,15,8,28018
737,61,7,17250
738,222,4,14942
739,333,6,15713
740,105,7,19334
741,98,2,7366
742,333,3,7981
743,135,6,17035
744,96,6,18644
745,296,8,18565
746,152,6,10038
747,95,7,14802
748,334,3,3776
749,26,7,21954
750,233,6,16514
751,100,9,28890
752,308,5,17176
753,685,2,4878
754,823,3,12333
755,74,5,15715
756,91,2,7186
757,131,3,10855
758,164,6,8632
759,57,6,15196
760,253,10,23054
761,386,5,11994
762,309,4,16496
763,764,2,6005
764,33,4,13381
765,295,4,6032
766,142,3,8214
767,335,6,13768
768,56,8,26452
769,212,5,10346
770,242,3,9680
771,271,3,7350
772,181,3,11837
773,81,5,11550
774,274,5,11904
775,81,9,23432
776,114,8,16944
777,45,3,12895
778,207,7,11467
779,273,2,4005
780,119,8,17750
781,50,6,16968
782,2,6,16298
783,197,5,13961
784,403,3,10440
785,76,8,25417
786,3,8,24589
787,49,2,5128
788,661,4,7467
789,296,4,10406
790,70,5,15103
791,176,6,6810
792,427,4,7928
793,203,2,5754
794,231,4,11232
795,12,8,10911
796,598,3,5892
797,13,9,25481
798,1209,2,2846
799,106,9,28005
800,276,4,12996
801,107,7,18407
802,118,7,25912
803,170,6,23515
804,259,2,8115
805,565,7,15837
806,491,5,7580
807,353,7,19597
808,155,3,10030
809,21,15,45738
810,512,2,5385
811,75,6,16782
812,772,1,4067
813,349,4,11895
814,762,1,716
815,49,9,25303
816,177,4,12358
817,229,3,5603
818,116,8,19698
819,206,9,28483
820,181,4,12507
821,205,5,14629
822,303,7,15392
823,249,7,19311
824,327,5,10059
825,875,1,1075
826,287,9,25270
827,841,3,2867
828,186,2,6523
829,588,4,6202
830,101,6,13446
831,228,3,6077
832,92,6,19927
833,186,5,13457
834,79,8,22999
835,20,3,6324
836,364,6,22206
837,119,6,15500
838,40,4,10357
839,26,4,14578
840,342,2,7662
841,2,7,20495
842,13,6,14649
843,61,7,17739
844,8,8,26850
845,887,3,8145
846,309,4,10504
847,194,5,9236
848,766,4,8345
849,336,6,17088
850,194,4,13913
851,211,10,26702
852,3,2,4182
853,143,3,8330
854,471,6,10211
855,54,7,20140
856,490,1,4044
857,787,3,4725
858,430,3,6485
859,485,6,19889
860,15,8,13518
861,453,4,13116
862,91,2,1210
863,825,1,373
864,64,2,10309
865,30,8,26746
866,265,8,26278
867,104,5,15031
868,230,10,24373
869,236,9,28740
870,432,4,9208
871,151,4,7595
872,447,4,15511
873,176,10,25684
874,317,5,8605
875,42,5,13604
876,689,2,6425
877,276,7,20002
878,118,4,11743
879,585,4,6492
880,36,7,19993
881,124,2,4119
882,183,9,27305
883,156,5,14190
884,461,3,2260
885,87,8,17616
886,60,9,21608
887,307,5,13163
888,350,2,5013
889,781,2,8058
890,185,6,16498
891,264,4,4618
892,1247,1,2968
893,84,7,13801
894,280,4,7979
895,907,1,4123
896,112,9,25710
897,94,7,22362
898,84,8,23870
899,799,3,6014
900,376,8,28623
901,83,7,19116
902,48,8,23298
903,143,4,12510
904,100,8,25615
905,166,5,10780
906,1,12,27438
907,56,5,16527
908,27,5,5370
909,356,5,13751
910,135,8,22406
911,75,6,19651
912,9,4,4619
913,167,6,8629
914,341,7,20253
915,93,4,11525
916,270,10,19557
917,81,6,11000
918,165,5,18324
919,546,2,4043
920,100,5,10853
921,154,5,11403
922,208,3,13905
923,37,2,4077
924,328,7,22853
925,15,8,18806
926,150,2,5818
927,115,4,9248
928,72,8,22896
929,119,5,16315
930,100,3,3717
931,183,6,23997
932,246,5,13975
933,470,5,17579
934,95,6,16085
935,285,3,14577
936,147,4,12888
937,381,5,13344
938,254,5,12891
939,55,4,11606
940,354,4,13280
941,69,2,6210
942,52,3,5070
943,27,9,29325
944,138,6,18745
945,624,2,6562
946,44,6,9578
947,11,8,19791
948,61,9,18961
949,10,5,11131
950,513,1,4806
951,93,6,15351
952,918,3,7343
953,145,7,23228
954,521,5,16304
955,258,1,1351
956,622,3,9979
957,9,4,7095
958,742,4,15166
959,452,6,16385
960,385,1,4978
961,281,4,12179
962,145,6,17271
963,730,2,4057
964,10,4,14351
965,106,6,17354
966,300,4,11063
967,581,3,6324
968,499,5,12829
969,367,4,11246
970,285,6,16194
971,44,10,21880
972,95,3,7209
973,269,8,14402
974,188,8,14776
975,835,3,5591
976,468,2,5957
977,38,3,10784
978,682,3,5713
979,128,2,2602
980,40,8,26327
981,134,4,14590
982,54,6,19363
983,721,4,12034
984,586,4,6673
985,295,5,9789
986,70,6,20366
987,629,5,13273
988,621,4,9708
989,232,4,14134
990,207,6,16889
991,32,5,10303
992,1,4,8489
993,625,4,11572
994,205,7,23695
995,76,5,16820
996,94,3,9677
997,136,5,14385
998,734,1,3747
999,390,4,8809
1000,142,6,17700
1001,32,5,16072
1002,187,4,9033
1003,98,8,14308
1004,78,4,13219
1005,959,3,5527
1006,265,2,2948
1007,59,7,20008
1008,172,2,6236
1009,160,7,18320
1010,85,8,29339
1011,710,6,19582
1012,153,7,14974
1013,244,7,19860
1014,332,2,6682
1015,73,4,14717
1016,47,7,21129
1017,59,3,12087
1018,149,3,9412
1019,433,4,8403
1020,313,5,20042
1021,184,5,16256
1022,363,4,7651
1023,235,4,11162
1024,218,7,26216
1025,694,3,7359
1026,313,3,6083
1027,92,12,24980
1028,245,7,16592
1029,424,5,12509
1030,142,8,19973
1031,66,2,2651
1032,16,3,13426
1033,291,6,23261
1034,574,1,1407
1035,113,10,24396
1036,245,7,19350
1037,749,3,11701
1038,116,2,7274
1039,501,4,10005
1040,23,4,9215
1041,12,9,28895
1042,200,4,11041
1043,263,4,10056
1044,104,4,7305
1045,351,10,24840
1046,456,9,28390
1047,92,5,17128
1048,97,3,8978
1049,9,6,13472
1050,188,4,14684
1051,240,6,12006
1052,63,6,15528
1053,204,5,7767
1054,358,4,11466
1055,208,5,15187
1056,177,6,16616
1057,110,7,17374
1058,287,7,20946
1059,589,5,12194
1060,182,8,20932
1061,27,5,15451
1062,387,7,22645
1063,321,6,15335
1064,1232,1,2871
1065,93,4,16057
1066,326,3,6620
1067,38,5,10019
1068,55,4,13312
1069,149,6,10413
1070,72,7,16663
1071,28,6,16468
1072,43,3,3808
1073,529,3,11065
1074,491,2,2735
1075,571,2,7151
1076,311,6,19801
1077,121,6,14603
1078,193,11,24693
1079,466,3,8220
1080,159,5,14026
1081,484,5,9256
1082,704,4,11034
1083,418,5,10249
1084,43,3,5540
1085,317,4,14493
1086,166,4,12102
1087,104,3,3542
1088,391,4,7228
1089,65,7,17429
1090,170,4,11188
1091,91,6,22860
1092,416,2,9506
1093,263,4,13773
1094,526,5,16326
1095,439,5,7893
1096,252,3,7176
1097,122,7,20039
1098,58,6,19161
1099,14,6,15577
1100,9,5,9679
1101,924,6,15131
1102,413,7,21035
1103,728,3,6420
1104,502,8,20760
1105,143,4,11476
1106,442,5,14493
1107,69,6,15239
1108,353,7,15741
1109,174,7,21595
1110,18,3,7263
1111,29,8,21872
1112,895,2,4721
1113,87,4,10114
1114,386,5,14205
1115,234,7,11617
1116,394,4,9678
1117,112,2,5547
1118,278,4,9030
1119,295,6,19588
1120,254,9,25185
1121,213,8,23780
1122,215,6,9577
1123,363,10,23407
1124,969,2,5558
1125,157,9,23124
1126,43,8,17074
1127,125,1,3862
1128,566,4,12509
1129,469,5,13223
1130,282,7,13711
1131,136,6,16359
1132,218,4,11574
1133,25,8,25731
1134,27,5,13432
1135,76,4,9687
1136,142,8,22760
1137,35,6,21963
1138,135,3,10198
1139,8,6,18585
1140,71,7,23166
1141,41,4,10116
1142,551,4,10603
1143,509,7,18372
1144,197,1,4869
1145,554,1,4523
1146,99,7,19808
1147,298,2,2841
1148,21,6,20145
1149,88,3,6985
1150,303,6,17624
1151,45,6,10812
1152,115,6,14286
1153,120,4,14448
1154,137,5,14905
1155,225,10,31599
1156,111,6,12606
1157,214,5,10982
1158,285,3,7892
1159,91,3,8808
1160,64,2,5786
1161,417,9,24138
1162,555,2,1876
1163,207,5,16287
1164,373,7,15360
1165,38,4,12479
1166,1136,3,7993
1167,540,6,18460
1168,536,6,17610
1169,130,7,27659
1170,94,7,14593
1171,125,7,26394
1172,358,5,12459
1173,51,7,11907
1174,199,4,13636
1175,398,4,13028
1176,312,4,16115
1177,241,6,21465
1178,60,4,11278
1179,48,6,18135
1180,207,4,15232
1181,58,6,18428
1182,990,2,7842
1183,60,5,17407
1184,174,1,739
1185,77,6,20410
1186,271,4,11509
1187,1111,1,2970
1188,51,5,11691
1189,15,5,7678
1190,176,3,6817
1191,333,3,9459
1192,272,8,16489
1193,239,6,20437
1194,47,11,36741
1195,14,12,41980
1196,89,8,14642
1197,32,6,13217
1198,299,4,15225
1199,300,5,17035
1200,200,6,23427
1201,284,3,11106
1202,53,7,19684
1203,93,5,9048
1204,15,7,15053
1205,584,3,11265
1206,1138,3,10390
1207,193,4,15231
1208,113,2,7285
1209,397,5,16228
1210,148,2,5478
1211,125,5,18067
1212,267,1,2813
1213,194,8,23982
1214,313,8,24283
1215,1174,1,4083
1216,688,3,5618
1217,101,9,24356
1218,148,7,21869
1219,194,5,6587
1220,480,3,8788
1221,322,7,27289
1222,215,7,17456
1223,388,7,20726
1224,197,5,16220
1225,265,6,15186
1226,70,9,21736
1227,178,8,21753
1228,256,2,7433
1229,33,6,15690
1230,228,3,5418
1231,53,2,6290
1232,153,5,12785
1233,142,7,19764
1234,146,9,30321
1235,81,3,4387
1236,197,6,17201
1237,89,8,19182
1238,327,3,12237
1239,525,7,18348
1240,460,2,5353
1241,176,6,20171
1242,331,5,16088
1243,192,6,20451
1244,38,5,8888
1245,105,8,16688
1246,194,5,6015
1247,102,6,15686
1248,111,11,24932
1249,202,4,10027
1250,68,9,26033
1251,516,9,19768
1252,480,6,14168
1253,32,7,20030
1254,406,6,12878
1255,924,2,8855
1256,137,7,23487
1257,293,3,3868
1258,99,8,25062
1259,117,5,13066
1260,562,4,13256
1261,996,2,9728
1262,41,6,14102
1263,236,6,16462
1264,203,9,21250
1265,1201,1,3407
1266,76,6,9115
1267,121,7,13869
1268,248,4,9158
1269,671,6,18043
1270,453,6,10013
1271,526,4,14160
1272,303,2,6636
1273,90,4,9836
1274,6,6,18112
1275,27,9,25680
1276,102,5,8399
1277,564,3,6656
1278,1006,3,12800
1279,67,10,29180
1280,97,5,12943
1281,124,6,14313
1282,57,4,11797
1283,37,6,14800
1284,255,3,10027
1285,274,9,26841
1286,178,4,10516
1287,410,8,23369
1288,166,2,6734
1289,660,1,487
1290,167,6,10031
1291,138,5,18313
1292,144,4,10933
1293,327,10,19501
1294,94,6,13945
1295,38,7,19501
1296,8,5,21770
1297,137,5,17497
1298,61,4,8717
1299,308,3,7448
1300,837,2,4951
1301,392,4,6315
1302,147,4,3151
1303,116,3,6965
1304,50,2,4119
1305,83,6,18433
1306,511,2,3208
1307,155,7,16648
1308,145,8,18682
1309,369,4,11980
1310,1160,1,1459
1311,15,9,20373
1312,394,6,16322
1313,241,2,2679
1314,427,7,22843
1315,419,3,12672
1316,3,6,7830
1317,146,11,31367
1318,159,9,20970
1319,400,4,12736
1320,44,8,13465
1321,75,7,19929
1322,38,4,8101
1323,435,5,14514
1324,212,7,16761
1325,158,4,16660
1326,133,5,8237
1327,70,6,24527
1328,447,4,13648
1329,56,9,22655
1330,93,6,17102
1331,222,6,21051
1332,31,4,11275
1333,46,5,14172
1334,602,5,13913
1335,47,7,24569
1336,366,6,11944
1337,206,6,19728
1338,362,5,12319
1339,30,5,15791
1340,595,4,7520
1341,72,7,22181
1342,51,9,28997
1343,636,5,10492
1344,31,5,14502
1345,157,10,28030
1347,85,3,7600
1348,180,6,17926
1349,264,5,12248
1350,132,6,20917
1351,686,3,5908
1352,8,7,12727
1353,225,4,6902
1354,175,6,13895
1355,13,2,5619
1356,549,7,16964
1357,377,7,25851
1358,203,5,19233
1359,351,4,11601
1360,423,1,4076
1361,251,5,14097
1362,617,4,13536
1363,38,2,6089
1364,15,8,22422
1365,264,3,7063
1366,444,6,19703
1367,95,10,23015
1368,57,8,21188
1369,178,8,27033
1370,223,8,17773
1371,6,6,18203
1372,56,5,13694
1373,784,6,11069
1374,38,8,23055
1375,349,4,4343
1376,440,4,10773
1377,331,5,14844
1378,132,3,6216
1379,342,11,30394
1380,156,4,15603
1381,160,4,8269
1382,570,1,153
1383,196,7,21207
1384,357,4,10988
1385,54,8,22196
1386,27,5,14471
1387,58,6,16945
1388,102,9,19139
1389,691,3,11339
1390,365,3,13310
1391,490,3,7264
1392,139,6,16043
1393,168,7,24786
1394,71,8,17254
1395,402,6,15699
1396,368,5,14954
1397,441,3,7014
1398,92,9,26755
1399,34,7,27310
1400,92,7,12275
1401,348,8,21474
1402,387,5,19604
1403,369,1,2922
1404,215,4,8940
1405,233,2,3622
1406,676,1,2217
1407,117,6,9847
1408,64,7,26231
1409,1101,4,4779
1410,109,3,8138
1411,268,5,12195
1413,221,5,14091
1414,31,3,7624
1415,234,6,18500
1416,166,7,17386
1417,64,10,32098
1418,270,5,17684
1419,498,4,12287
1420,768,2,1718
1421,55,5,13236
1422,139,5,6261
1423,92,6,16730
1424,360,5,6348
1425,6,6,16382
1426,198,8,19836
1427,35,8,22394
1428,149,3,7245
1429,1,10,20805
1430,200,7,23979
1431,72,10,31856
1432,120,2,5044
1433,81,7,20496
1434,177,5,17565
1435,44,5,13095
1436,144,3,10908
1437,523,2,3474
1438,292,3,6891
1439,576,3,10689
1440,427,6,14664
1441,528,6,11202
1442,117,8,26509
1443,187,6,19852
1444,142,5,12344
1445,309,4,10841
1446,63,7,21440
1447,10,7,20035
1448,385,4,15240
1449,52,5,12483
1450,10,4,11579
1451,723,2,1676
1453,382,6,10406
1454,377,3,9059
1455,919,3,11001
1456,131,6,16486
1457,13,1,4667
1458,733,2,5999
1459,180,3,12539
1460,290,5,7467
1461,7,8,19767
1462,213,5,10229
1463,114,4,17940
1464,476,4,7946
1465,58,7,16675
1466,285,3,9729
1467,1,4,15175
1468,590,4,16179
1469,651,3,6881
1470,105,8,24078
1471,16,6,16553
1472,356,3,6200
1473,10,7,17499
1474,85,4,10264
1475,178,3,7218
1476,220,4,7198
1477,36,3,11565
1478,321,5,12762
1479,235,4,14633
1480,78,7,13209
1481,150,9,23889
1482,313,6,15103
1483,9,8,21812
1484,333,2,3178
1485,103,6,12528
1486,81,8,18169
1487,5,9,24752
1488,31,4,10475
1489,168,4,10741
1490,583,3,9294
1491,115,4,11716
1492,11,10,23951
1493,997,2,6341
1494,383,6,20636
1495,329,8,19846
1496,153,5,11340
1497,316,6,18242
1498,134,5,16493
1499,475,3,6216
1500,558,1,4773
1501,431,7,18328
1502,25,3,11835
1503,156,7,27501
